0000,0000,0000,0000,0000,0000,0000,0000,0000
0000,0000,0000,0000,0000,0000,0000,0000,0000
0000,0000,0000,0000,0000,0000,0000,0000,0000
0000,0000,0000,0000,0000,0000,0000,0000,0000
0000,0090,0090,0090,9090,9390,0000,0000,0000
0000,9050,9050,9050,9092,9392,0000,0000,0000
0000,8500,8502,8504,8506,9050,0000,0000,0000
0000,8200,8202,8204,8206,9050,0000,0000,0000
0000,8000,8002,8004,8006,9050,0000,0000,0000
0000,9050,9050,9050,9050,9050,0000,0000,0000
0000,0090,9050,9050,9050,9050,0000,0000,0000
0000,0000,5090,5090,5090,0000,0000,0000,0000
